,title,vote_average,release_date,runtime,genres
222978,The Basement,3.0,2011-10-10,83,"Horror, Thriller"
654083,She-Male Strokers 80,0.0,2016-04-27,185,Romance
914072,The Little Riders,0.0,1996-03-23,96,"Drama, TV Movie"
211134,Ouija Mummy,5.5,2019-08-25,61,Horror
177442,George W. Bush: Faith in the White House,6.0,2004-08-30,90,Documentary
195353,Astronauts,5.0,1962-10-15,79,"Comedy, Science Fiction"
344671,Jack the Ripper,6.0,1958-03-08,75,"Fantasy, Horror"
21531,Diamantino,6.099,2018-11-28,96,"Comedy, Science Fiction, Fantasy"
828625,Thunder - Live And Uncut At The Marquee,0.0,2003-11-15,106,Music
24335,Morituri,6.8,1965-08-24,123,"Action, Drama, Thriller, War"
1014614,5 loddrett,0.0,1959-08-17,91,Drama
341982,Strange World,2.0,1950-12-13,94,Adventure
857059,Carnivore,0.0,2008-10-18,83,Drama
960263,UFC 266: Volkanovski vs. Ortega,0.0,2021-09-25,199,Action
497294,The Stranger,0.0,2022-12-08,64,"Drama, Romance"
6615,Deep Blue Sea 2,5.116,2018-04-17,94,"Action, Horror, Science Fiction"
117389,A Distant Place,6.0,2021-03-18,119,Drama
738058,Private Lessons,0.0,2012-01-01,131,Drama
94249,The Picture of Dorian Gray,6.0,1973-04-22,111,"Horror, TV Movie"
963502,Great North: A Run. A River. A Region.,0.0,2021-09-08,87,Documentary
1010884,Terrain,0.0,2022-02-12,126,Documentary
174540,Asylum of Terror,1.0,1998-01-01,75,Horror
125892,"Osen, Chertanovo...",4.5,1988-06-06,105,Drama
37525,Chained Heat 2,3.919,1993-08-25,99,"Crime, Drama, Thriller, Action"
833766,Finally Bhalobasha,0.0,2019-02-08,117,"Drama, Romance"
367982,Kaiju Guy!,0.0,2025-01-24,79,Comedy
77183,Untitled,7.5,2017-03-03,102,Documentary
836419,East London and District,0.0,2005-10-31,140,Documentary
818085,DR. BENDERFAX,0.0,1997-12-12,85,"Horror, Comedy"
70881,And Then Came Summer,3.682,2000-07-27,115,"Drama, Romance"
804965,Next Goal Wins,0.0,2023-11-16,103,"Comedy, Drama"
166249,Aswang,2.3,2018-05-09,85,"Horror, Thriller"
929706,Le voyage imprévu,0.0,1935-12-31,87,"Comedy, Romance"
139232,The Last Continent,4.5,2007-12-21,120,Documentary
210002,Nun Story: Frustration in Black,3.0,1980-01-19,67,Drama
998279,MEUTE: Live in Paris,0.0,2019-03-20,97,"Music, Documentary"
88591,Glorious Days,8.1,2019-10-03,119,"Drama, Comedy, Romance"
319488,The New Maverick,8.0,1978-09-03,100,"TV Movie, Western, Comedy"
135910,Mountain of Wrath,5.0,1968-01-01,83,"Romance, Drama"
856026,Tadon and Chikuwa,0.0,1998-12-05,102,Drama
116535,Treachery and Greed on the Planet of the Apes,6.0,1980-11-19,90,"TV Movie, Adventure, Thriller, Science Fiction"
98052,Vir Das: Landing,7.1,2022-12-26,66,Comedy
922028,In Denial of Murder,0.0,2004-02-29,120,Crime
196875,As Long as One Is Intoxicated,5.5,1974-10-01,90,Drama
165214,The Quiet Storm,5.7,2007-09-07,102,Drama
79986,Nine Muses of Star Empire,6.111,2014-09-25,82,Documentary
917702,Unfaithfully Yours,0.0,1989-03-18,110,"Romance, Comedy"
365465,Greatest Buffalo Hunts Vol.1,0.0,2005-01-01,115,Documentary
205961,Angela Merkel - Im Lauf der Zeit,8.0,2022-02-20,90,Documentary
384942,Klassenkampf,0.0,2008-06-26,97,Documentary
113629,Voice Over,7.2,2018-01-01,82,Drama
179861,Le Portrait de Dorian Gray,6.0,1977-07-27,105,"Drama, Fantasy"
95028,Rising Storm,3.9,1989-10-21,95,"Action, Comedy, Science Fiction"
159243,Mini-Zlatan and Uncle Darling,6.0,2022-03-25,80,Family
202172,The Last Case of August T. Harrison,6.5,2016-03-05,66,"Science Fiction, Horror, Mystery"
654349,Naina,0.0,2002-08-30,145,Comedy
108919,A Great Day in Harlem,7.2,1994-09-27,60,"Documentary, Music"
316538,The New York Pizza Confessions,1.0,2011-01-01,66,"Documentary, Comedy, Drama"
889456,Death Penalty.com: A New Beginning,0.0,2011-05-03,71,Horror
842235,Dhol Ratti,0.0,2018-07-20,122,Family
51983,Illuminata,5.5,1998-05-21,119,Drama
991667,Role Models,0.0,2021-01-12,95,Romance
479502,Doktor Ewa,0.0,1971-02-12,355,"Drama, TV Movie"
922309,Memories 677,0.0,2011-10-01,86,Documentary
283483,May,2.0,2008-06-05,110,Drama
73729,The Sentiment of the Flesh,4.045,2010-12-29,91,"Romance, Drama, Thriller"
111391,Quality Street,7.4,1927-11-01,110,Comedy
770056,Alisher Navoiy,0.0,1948-02-06,100,"Drama, History"
256975,Quarantine for Two,5.0,2021-08-27,85,"Romance, Comedy"
144608,"Party at the Palace: The Queen's Concerts, Buckingham Palace",5.4,2002-06-03,175,"Music, Documentary"
203185,See You Then,2.5,2022-04-01,74,Drama
50716,The Time of Secrets,6.0,2007-06-12,98,"Family, TV Movie"
772635,Startfieber,0.0,1986-02-06,95,Drama
263586,The Real Ghost Seekers,4.0,2021-05-01,90,"Comedy, Drama"
65865,The Black Raven,5.4,1943-05-31,61,Mystery
90982,The President and his Granddaughter,5.4,2000-12-31,100,"Drama, Comedy"
243314,The Man Without a World,2.0,1991-05-28,98,Drama
118518,You Only Come at Night,5.4,1966-08-25,95,Drama
184751,Daughter of the Crater,5.5,2019-09-13,75,Documentary
167152,Wet & Wild Asses 8,9.0,2022-06-09,204,Drama
293153,America Town,5.0,2018-12-06,93,Drama
83734,Big Man on Campus,6.0,1989-12-12,105,"Comedy, Fantasy"
485036,"This Son Was Secretly Plotting to Fuck His Big Ass Stepmom, So One Day, He Waited While She Came Out of the Bath and Grabbed Her So Hard Her Anal Ass Was Bulging Out! His Stepmom Tried to Resist, But When He Slid His Dick Inside Her,",0.0,2019-02-08,140,Drama
875521,Borderland,0.0,1937-02-26,82,Western
80974,Meet Me in Montenegro,4.7,2015-07-10,90,"Romance, Comedy, Drama"
649018,The Quiet Maid,0.0,2023-11-16,90,"Drama, Comedy"
535551,Облом,0.0,2020-03-11,64,Drama
339197,Torrejón City,3.0,1962-03-14,89,"Western, Comedy"
22331,"No Retreat, No Surrender 2: Raging Thunder",5.451,1987-11-05,104,Action
195126,Breathless,6.5,2022-02-23,85,"Drama, Thriller"
102934,Detonator,6.2,2003-02-23,92,"Action, Drama, Thriller"
834804,Mama Africa,0.0,2002-06-07,78,Drama
327433,Assault on Fort Texan,6.0,1965-01-01,96,Western
154894,Final Ascent,2.7,2000-11-05,89,"Action, TV Movie"
75101,Diagnosis Murder: Diagnosis of Murder,8.3,1992-01-05,120,"Crime, Drama, Mystery, TV Movie"
523992,The Wolf in the Moonlight,0.0,2020-10-14,116,Documentary
794786,My Addiction,0.0,1994-09-12,61,Comedy
869112,White Goddess,0.0,1953-03-27,70,Adventure
1009555,Craig Quits His Day Job,0.0,2016-11-09,80,Comedy
79678,A Very Country Christmas Homecoming,5.7,2020-06-03,80,"TV Movie, Romance, Comedy"
49223,Inflatable Sex Doll of the Wastelands,5.2,1967-10-03,85,"Crime, Drama"
162046,Mother,3.0,1999-01-01,142,"Comedy, Drama"
25839,Clean Slate,5.728,1994-05-06,107,"Comedy, Thriller, Mystery"
209653,Guns N' Roses: Live Tokyo '92,8.0,1992-12-08,165,Music
781757,Mastergate,0.0,1992-11-01,86,Comedy
38118,In My Room,5.883,2018-07-01,120,Drama
273652,Searching for Valentina: The World of Guido Crepax,8.0,2019-08-29,76,Documentary
28513,Davaro,7.594,1981-11-09,94,Comedy
85024,Callaway Went Thataway,4.7,1951-11-15,82,"Comedy, Western"
125678,A Connecticut Yankee,6.0,1931-04-06,95,"Comedy, Fantasy, Romance"
14232,The Weight of Water,5.584,2000-09-25,113,"Mystery, Drama, Thriller"
69365,The Money Masters,7.5,1996-01-01,210,"History, Documentary"
35712,Holding Trevor,5.0,2007-06-16,88,Drama
767013,Sindoor,0.0,1980-11-17,136,Drama
27887,K,6.19,1997-08-27,135,"Crime, Thriller"
128160,Affairs of Cappy Ricks,4.25,1937-05-24,61,"Comedy, Drama"
816533,How's Your News? Election 2012,0.0,2012-10-17,63,Documentary
211494,"Classic Cartoon Favorites, Vol. 7 - Extreme Adventure Fun",10.0,2005-01-01,60,"Animation, Family"
95911,Little Palestine: Diary of a Siege,7.0,2021-05-01,83,Documentary
844764,Vacation from Love,0.0,1938-09-29,66,Comedy
211521,Hurra...die deutsche Sex-Partei,1.5,1974-01-01,83,Comedy
414921,The Family Van Paemel,0.0,1963-10-16,90,Drama
